"POS","ID","PosScore","NegScore","SynsetTerms","Gloss"
"n","00037006",0.625,0,"masterpiece#2","an outstanding achievement"
"n","00037090",0.75,0,"masterstroke#1","an achievement demonstrating great skill or mastery"
"n","00040545",0.625,0,"cross-fertilization#2 cross-fertilisation#2","interchange between different cultures or different ways of thinking that is mutually productive and beneficial; \"the cross-fertilization of science and the creative arts\""
"n","00064504",0.625,0,"strike#6 smasher#3 smash#5 hit#3 bang#5","a conspicuous success; \"that song was his first hit and marked the beginning of his career\"; \"that new Broadway show is a real smasher\"; \"the party went with a bang\""
"n","00143536",0.625,0,"going-over#1","a careful and thorough inspection"
"n","00254415",0.625,0,"sanitization#1 sanitisation#1 sanitation#2","making something sanitary (free of germs) as by sterilizing"
"n","00261405",0.625,0,"reform#3","self-improvement in behavior or morals by abandoning some vice; \"the family rejoiced in the drunkard's reform\""
"n","00272448",0.625,0,"subversion#1 corruption#5","destroying someone's (or some group's) honesty or loyalty; undermining moral integrity; \"corruption of a minor\"; \"the big city's subversion of rural innocence\""
"n","00273319",0.625,0,"profanation#2","degradation of something worthy of respect; cheapening"
"n","00273449",0.625,0.375,"humiliation#4 abasement#2","depriving one of self-esteem"
"n","00416216",0.625,0.125,"strait_and_narrow#1 straight_and_narrow#1","the way of proper and honest behavior; \"he taught his children to keep strictly to the straight and narrow\""
"n","00431005",0.875,0,"joke#2 jocularity#3 jest#2","activity characterized by good humor"
"n","00512522",0.625,0,"toying#1 flirting#1 flirtation#1 flirt#2 dalliance#2 coquetry#1","playful behavior intended to arouse sexual interest"
"n","00515297",0.75,0,"pleasantry#1","an agreeable or amusing remark; \"they exchange pleasantries\""
"n","00538791",0.625,0,"highland_fling#1","a vigorous Scottish reel"
"n","00549766",0.625,0,"method_acting#1 method#2","an acting technique introduced by Stanislavsky in which the actor recalls emotions or reactions from his or her own life and uses them to identify with the character being portrayed"
"n","00745637",0.75,0,"wickedness#1 iniquity#2 immorality#2 evil#1","morally objectionable behavior"
"n","00754424",0.625,0,"cheating#1 cheat#5","a deception for profit to yourself"
"n","00757337",0.625,0.125,"actual_sin#1","a sin committed of your own free will (as contrasted with original sin)"
"n","00758175",0.625,0.25,"superbia#1 pride#5","unreasonable and inordinate self-esteem (personified as one of the deadly sins)"
"n","00778405",0.625,0.125,"fraud_in_law#1","fraud that is presumed from the circumstances although the one who commits it need not have had any evil intent"
"n","00828559",0.625,0,"primping#1","careful or finicky grooming; \"the primping alone took more than an hour\""
"n","01130735",0.625,0,"noblesse_oblige#1","the obligation of those of high rank to be honorable and generous (often used ironically)"
"n","01193886",0.625,0,"acquittal#1","a judgment of not guilty"
"n","01203676",0.625,0,"conformity#2 conformation#3 compliance#1 abidance#1","acting according to certain accepted standards; \"their financial statements are in conformity with generally accepted accounting practices\""
"n","01205010",0.625,0,"keeping#1","conformity or harmony; \"his behavior was not in keeping with the occasion\""
"n","01207108",0.625,0,"reenlistment#1","a renewed enlistment"
"n","01218593",0.75,0,"appreciation#4 admiration#3","a favorable judgment; \"a small token in admiration of your works\""
"n","01225299",0.75,0,"indignity#1","an affront to one's dignity or self-esteem"
"n","01226679",0.75,0,"benevolence#3 benefaction#2","an act intending or showing kindness and good will"
"n","01227495",0.625,0,"mercy#5","alleviation of distress; showing great kindness toward the distressed; \"distributing food and clothing to the flood victims was an act of mercy\""
"n","01229549",0.875,0,"props#1","proper respect; \"I have to give my props to the governor for the way he handled the problem\""
"n","01262345",0.75,0,"titillation#2","an agreeable arousal"
"n","01265475",0.75,0,"beatification#2","the action of rendering supremely blessed and extremely happy"
"n","01421496",0.625,0,"sporozoa#1 class_sporozoa#1","strictly parasitic protozoans that are usually immobile; includes plasmodia and coccidia and piroplasms and malaria parasites"
