"lemma","definition"
"blue cohosh","tall herb of eastern North America and Asia having blue berrylike fruit and a thick knotty rootstock formerly used medicinally"
"blueberry root","tall herb of eastern North America and Asia having blue berrylike fruit and a thick knotty rootstock formerly used medicinally"
"caulophyllum thalictrioides","tall herb of eastern North America and Asia having blue berrylike fruit and a thick knotty rootstock formerly used medicinally"
"caulophyllum thalictroides","tall herb of eastern North America and Asia having blue berrylike fruit and a thick knotty rootstock formerly used medicinally"
"papoose root","tall herb of eastern North America and Asia having blue berrylike fruit and a thick knotty rootstock formerly used medicinally"
"papooseroot","tall herb of eastern North America and Asia having blue berrylike fruit and a thick knotty rootstock formerly used medicinally"
"squaw root","tall herb of eastern North America and Asia having blue berrylike fruit and a thick knotty rootstock formerly used medicinally"
"squawroot","tall herb of eastern North America and Asia having blue berrylike fruit and a thick knotty rootstock formerly used medicinally"
"bay","small Mediterranean evergreen tree with small blackish berries and glossy aromatic leaves used for flavoring in cooking; also used by ancient Greeks to crown victors"
"bay laurel","small Mediterranean evergreen tree with small blackish berries and glossy aromatic leaves used for flavoring in cooking; also used by ancient Greeks to crown victors"
"bay tree","small Mediterranean evergreen tree with small blackish berries and glossy aromatic leaves used for flavoring in cooking; also used by ancient Greeks to crown victors"
"laurus nobilis","small Mediterranean evergreen tree with small blackish berries and glossy aromatic leaves used for flavoring in cooking; also used by ancient Greeks to crown victors"
"true laurel","small Mediterranean evergreen tree with small blackish berries and glossy aromatic leaves used for flavoring in cooking; also used by ancient Greeks to crown victors"
"coumarouna odorata","tall tropical South American tree having pulpy egg-shaped pods of fragrant black almond-shaped seeds used for flavoring"
"dipteryx odorata","tall tropical South American tree having pulpy egg-shaped pods of fragrant black almond-shaped seeds used for flavoring"
"tonka bean","tall tropical South American tree having pulpy egg-shaped pods of fragrant black almond-shaped seeds used for flavoring"
"tonka bean tree","tall tropical South American tree having pulpy egg-shaped pods of fragrant black almond-shaped seeds used for flavoring"
"melilotus officinalis","biennial yellow-flowered Eurasian plant having aromatic leaves used as carminative or flavoring agent; widely cultivated especially as green manure or cover crop"
"yellow sweet clover","biennial yellow-flowered Eurasian plant having aromatic leaves used as carminative or flavoring agent; widely cultivated especially as green manure or cover crop"
"aralia hispida","bristly herb of eastern and central North America having black fruit and medicinal bark"
"bristly sarsaparilla","bristly herb of eastern and central North America having black fruit and medicinal bark"
"bristly sarsparilla","bristly herb of eastern and central North America having black fruit and medicinal bark"
"dwarf elder","bristly herb of eastern and central North America having black fruit and medicinal bark"
"ginseng","Chinese herb with palmately compound leaves and small greenish flowers and forked aromatic roots believed to have medicinal powers"
"nin-sin","Chinese herb with palmately compound leaves and small greenish flowers and forked aromatic roots believed to have medicinal powers"
"panax ginseng","Chinese herb with palmately compound leaves and small greenish flowers and forked aromatic roots believed to have medicinal powers"
"panax pseudoginseng","Chinese herb with palmately compound leaves and small greenish flowers and forked aromatic roots believed to have medicinal powers"
"panax schinseng","Chinese herb with palmately compound leaves and small greenish flowers and forked aromatic roots believed to have medicinal powers"
"fumaria officinalis","delicate European herb with greyish leaves and spikes of purplish flowers; formerly used medicinally"
"fumeroot","delicate European herb with greyish leaves and spikes of purplish flowers; formerly used medicinally"
"fumewort","delicate European herb with greyish leaves and spikes of purplish flowers; formerly used medicinally"
"fumitory","delicate European herb with greyish leaves and spikes of purplish flowers; formerly used medicinally"
"arctium lappa","burdock having heart-shaped leaves found in open woodland, hedgerows and rough grassland of Europe (except extreme N) and Asia Minor; sometimes cultivated for medicinal and culinary use"
"cocklebur","burdock having heart-shaped leaves found in open woodland, hedgerows and rough grassland of Europe (except extreme N) and Asia Minor; sometimes cultivated for medicinal and culinary use"
"great burdock","burdock having heart-shaped leaves found in open woodland, hedgerows and rough grassland of Europe (except extreme N) and Asia Minor; sometimes cultivated for medicinal and culinary use"
"greater burdock","burdock having heart-shaped leaves found in open woodland, hedgerows and rough grassland of Europe (except extreme N) and Asia Minor; sometimes cultivated for medicinal and culinary use"
